iter	RMSE
0	83.59360794
1	79.79342137
2	76.38664729
3	73.23256561
4	70.43432779
5	67.96060244
6	65.71514331
7	63.59525032
8	61.76800541
9	60.07602386
10	58.60457781
11	57.34097826
12	56.18201985
13	55.12831651
14	54.14487073
15	53.32057418
16	52.58185243
17	51.92062573
18	51.2967042
19	50.78035028
20	50.31249889
21	49.8308429
22	49.36568213
23	49.02952658
24	48.69139158
25	48.41289057
26	48.14598458
27	47.90556188
28	47.70084915
29	47.50919407
30	47.34037959
31	47.20259427
32	47.06032005
33	46.95027633
34	46.84569392
35	46.76063898
36	46.61990556
37	46.52557234
38	46.45057062
39	46.34770572
40	46.26572893
41	46.16775017
42	46.08507497
43	46.01477054
44	45.96625844
45	45.87519091
46	45.83110596
47	45.78954824
48	45.74509943
49	45.7062138
50	45.67343618
51	45.62877239
52	45.55633447
53	45.50754452
54	45.48981738
55	45.4441847
56	45.41684972
57	45.39778723
58	45.38328695
59	45.34519296
60	45.26309864
61	45.23424319
62	45.21528393
63	45.19032161
64	45.16685545
65	45.12276552
66	45.08799725
67	45.06918846
68	45.05363071
69	45.03952722
70	45.02223343
71	44.9904694
72	44.95399229
73	44.93101785
74	44.89131857
75	44.87411138
76	44.83709937
77	44.824148
78	44.8055046
79	44.78185071
80	44.73025891
81	44.71050436
82	44.69027786
83	44.67292599
84	44.64917242
85	44.62986299
86	44.6225056
87	44.60557637
88	44.58350862
89	44.55345019
90	44.54407212
91	44.53157137
92	44.51200844
93	44.48008864
94	44.46326069
95	44.4561856
96	44.43660485
97	44.42016018
98	44.4079417
99	44.38800037
100	44.37227696
101	44.35039905
102	44.33440051
103	44.31899144
104	44.29803026
105	44.27854021
106	44.26435139
107	44.2559571
108	44.23429243
109	44.21503877
110	44.19232469
111	44.17528257
112	44.16382468
113	44.14403927
114	44.13557309
115	44.12559566
116	44.10886359
117	44.08653508
118	44.07955825
119	44.04043884
120	44.02116695
121	44.01469817
122	43.99489404
123	43.98049654
124	43.96433807
125	43.95954355
126	43.94204239
127	43.93131777
128	43.91431022
129	43.9023031
130	43.87909481
131	43.85026373
132	43.84109288
133	43.82850121
134	43.808783
135	43.78126169
136	43.77032312
137	43.75868186
138	43.74639745
139	43.73632497
140	43.71356173
141	43.70181134
142	43.68109082
143	43.67188193
144	43.65950976
145	43.63575645
146	43.62207254
147	43.60654312
148	43.59588077
149	43.58271942
150	43.5596144
151	43.54647642
152	43.53524646
153	43.52205694
154	43.50913017
155	43.50355983
156	43.49736556
157	43.48154104
158	43.4525055
159	43.44689269
160	43.42981494
161	43.41632369
162	43.40525478
163	43.39408357
164	43.37449658
165	43.35632563
166	43.34316361
167	43.33071641
168	43.3243244
169	43.31417713
170	43.30697822
171	43.29172766
172	43.28196287
173	43.26826419
174	43.25594815
175	43.2408031
176	43.22833356
177	43.20913525
178	43.19659826
179	43.18854789
180	43.17846781
181	43.17139163
182	43.16485886
183	43.15390385
184	43.14535674
185	43.12893203
186	43.12282537
187	43.10200682
188	43.09103637
189	43.0797063
190	43.06892059
191	43.05875009
192	43.05130034
193	43.02813329
194	43.01738057
195	43.00067613
196	42.9908309
197	42.97610125
198	42.95542864
199	42.94827279
200	42.93794251
201	42.92847395
202	42.91709444
203	42.90609212
204	42.89957052
205	42.89500631
206	42.88597859
207	42.86905382
208	42.86002993
209	42.85285901
210	42.83585332
211	42.81713159
212	42.79727271
213	42.78455243
214	42.77791981
215	42.76639689
216	42.75573153
217	42.74340496
218	42.73536901
219	42.72366359
220	42.71118213
221	42.69964199
222	42.69100191
223	42.68260218
224	42.67496176
225	42.66358498
226	42.65968332
227	42.65505396
228	42.64652127
229	42.63439482
230	42.62498557
231	42.61490691
232	42.59870784
233	42.59193673
234	42.58035653
235	42.57255954
236	42.56368908
237	42.55602564
238	42.54178019
239	42.53185028
240	42.52051529
241	42.51184768
242	42.50122326
243	42.49104307
244	42.48223224
245	42.47094127
246	42.46376951
247	42.45556715
248	42.44391444
249	42.43404451
250	42.42374637
251	42.41369564
252	42.40665366
253	42.39830517
254	42.38344757
255	42.37284482
256	42.35969189
257	42.35212313
258	42.34092817
259	42.32997363
260	42.3230425
261	42.31330123
262	42.30409567
263	42.30122304
264	42.29159189
265	42.27508209
266	42.26171838
267	42.24501268
268	42.22943593
269	42.22223254
270	42.21224899
271	42.20456453
272	42.19764594
273	42.18438669
274	42.16780806
275	42.1613557
276	42.15353919
277	42.14655098
278	42.13737663
279	42.12298407
280	42.11806119
281	42.10968044
282	42.09700192
283	42.09346242
284	42.07718482
285	42.07012516
286	42.05516417
287	42.04540847
288	42.03972996
289	42.03366019
290	42.0269992
291	42.01691097
292	42.00949509
293	42.00117452
294	41.99321018
295	41.97877206
296	41.96933183
297	41.95941112
298	41.9549516
299	41.94698625
300	41.94018741
301	41.93183189
302	41.92747156
303	41.92022059
304	41.91484521
305	41.91123465
306	41.90409725
307	41.89712347
308	41.88958446
309	41.87995909
310	41.87688174
311	41.87292823
312	41.86998046
313	41.86254441
314	41.85841321
315	41.85048272
316	41.8437382
317	41.83849734
318	41.83346765
319	41.82092894
320	41.8138985
321	41.80253482
322	41.79207635
323	41.78431468
324	41.77663751
325	41.76247769
326	41.75223043
327	41.74519939
328	41.736075
329	41.72023857
